keys,en
Mijasz starca bez słowa.,You pass the old man without a word.
Minij obojętnie,Pass by indifferently
Miraż,Mirage
"Między drzewami otwierają się szczeliny, z których bucha gorący pył.","Cracks open between the trees, belching hot dust."
Mięso pachnie słodko i niedobrze.,"The meat smells sweet, and wrong."
Mleczna mgła snuje się nisko między drzewami. Wilgoć wpełza pod ubranie. -1 ciepła.,Milky fog drifts low between the trees. The damp creeps under your clothes. -1 warmth.
Mniejsze pragnienie,Less thirst
Mniejszy głód,Less hunger
Mokra mgła wpełza pod ubranie i przenika do kości. -1 ciepła.,Wet fog creeps under your clothes and soaks into your bones. -1 warmth.
Mokradło gra tysiącem żabich gardeł. Monotonny chór w końcu kołysze cię do snu. +1 energii następnego dnia.,The wetland plays with a thousand frog throats. The monotonous chorus finally rocks you to sleep. +1 energy the next day.
Mokre powietrze wciska chłód pod skórę. -1 ciepła (schronienie chroni).,The damp air presses cold under your skin. -1 warmth (shelter protects).
"Morski sztorm smaga obóz lodowatą wodą. -2 ciepła, -1 zdrowia (schronienie chroni).","A sea storm lashes the camp with icy water. -2 warmth, -1 health (shelter protects)."
"Morze nabiega krwistą barwą trującego kwiatu. Ryby konają i gniją na brzegu. -1 jedzenia, -1 zdrowia.","The sea swells with the blood-red hue of a poisonous bloom. Fish die and rot on the shore. -1 food, -1 health."
Morze weszło na ląd. Plaża jest tylko pasem piany i porwanych szczątków.,The sea has come onto the land. The beach is just a strip of foam and torn debris.
"Morze wyrzuca na brzeg zgniłe ryby, a fale niosą tłustą, czarną pianę.","The sea throws up rotten fish, and the waves carry a greasy black foam."
Można budować tylko na: ,Can only be built on: 
Można dokładać bez ograniczeń.,You can add wood without limit.
Mroczne korytarze z rudą i podziemnym źródłem. Strop bywa zdradliwy.,Dark passages with ore and an underground spring. The ceiling can be treacherous.
"Mrok w korytarzach gęstnieje i porusza się sam. -1 zdrowia, -2 energii następnego dnia.","The dark in the corridors thickens and moves on its own. -1 health, -2 energy the next day."
"Mroźne, czyste powietrze rozjaśnia głowę. Budzisz się wypoczęty. +1 energii następnego dnia.","Frosty, clean air clears your head. You wake up rested. +1 energy the next day."
Mroźny ogar,Frost hound
Mroźny upiór,Frost wraith
Mróz,Freezing
Mróz chwyta,The frost bites
Mróz wgryza się w kości: ciepło spada o 1 mocniej.,Frost gnaws into your bones: warmth drops 1 point harder.
Muzyka,Music
"Muł zapada się w czarne rozpadliny, a para pachnie siarką.","The silt collapses into black crevices, and the steam smells of sulphur."
Mętna woda,Murky water
"Na horyzoncie drży obraz miasta, którego już nie ma. Idziesz za mirażem za daleko. -1 nawodnienia.",On the horizon shimmers the image of a city that no longer exists. You follow the mirage too far. -1 hydration.
Na otwartej łące nie ma jak się ogrzać. -2 ciepła (schronienie chroni).,There is nowhere to warm up on the open meadow. -2 warmth (shelter protects).
Na pustkowiu nie ma czym się pożywić. -2 sytości.,There is nothing to eat on the wasteland. -2 satiety.
Na półce skalnej w głębi szczeliny leżą czyjeś zapasy. Kuszące — i wysoko nad pustką.,On a rocky ledge deep in the crevice lie someone's supplies. Tempting — and high above the void.
"Na starcie zobacz górny pasek: jedzenie, woda, drewno i kamień mają limity typu 3/8.

Najpierw zagraj kartę lub akcję biomu, która daje brakujący zasób. Przykład: Źródło daje wodę, Szukaj materiałów daje kamień, zbieranie drewna daje drewno. Karty zagrywasz przez przeciągnięcie.","At the start, look at the top bar: food, water, wood and stone have caps like 3/8.

First play a card or biome action that gives the resource you are missing. Example: Spring gives water, Scavenge gives stone, wood gathering gives wood. You play cards by dragging them."
Na wysokości każdy oddech kosztuje. -1 energii następnego dnia.,At altitude every breath costs. -1 energy the next day.
Na ścieżce leżą czarne ptaki. Żadne zwierzę ich nie tyka.,Black birds lie on the path. No animal will touch them.
Na środku rozlewiska kołysze się szczelnie zamknięta skrzynia. Prąd znosi ją dalej.,In the middle of the floodwater a tightly sealed crate bobs about. The current is carrying it away.
Nabierz wody,Draw water
Nabierz wody ze strumienia.,Draw water from the stream.
Naciągasz koc na głowę i zasypiasz.,You pull the blanket over your head and fall asleep.
Nad ranem szron ścina ziemię. -2 ciepła (schronienie chroni).,"Towards morning, frost stiffens the ground. -2 warmth (shelter protects)."
Nagroda: %s dołącza do talii (%d kart).,Reward: %s joins your deck (%d cards).
Nagroda: +1 maks. energii (%d).,Reward: +1 max energy (%d).
Nagroda: +1 maks. zdrowia (%d).,Reward: +1 max health (%d).
Najedz się raz a porządnie.,"Eat one proper, filling meal."
"Najedź na Koniec dnia, aby sprawdzić prognozę nocy: spadki potrzeb, zapasy i wpływ budynków. Następnie zakończ dzień.","Hover over End day to check the night forecast: needs decay, supplies and building effects. Then end the day."
Najpierw postaw tu przynajmniej jeden budynek.,First build at least one building here.
"Najpierw zamknij tryb budowania, żeby zagrać kartę.",Close build mode first to play a card.
Nakarm go,Feed him
Napełnij bukłak po brzegi.,Fill the waterskin to the brim.
Napraw,Repair
Naprawa,Repair
Naprawa / rozbiórka,Repair / demolish
Naprawa do pełnego HP.,Repairs to full HP.
"Naprawa: %d energii, %d drewna","Repair: %d energy, %d wood"
Naprawa: niedostępna.,Repair: unavailable.
Naprawa: pełne HP.,Repair: full HP.
Naprawić budynek?,Repair the building?
"Narzędzia
Gdy są gotowe, karty z jedzeniem i drewnem dają większy zysk.","Tools
Once ready, food and wood cards give bigger yields."
Narzędzia: %s,Tools: %s
Narzędzia: nie,Tools: no
Narąb drewna na opał i rozbudowę obozu.,Chop firewood for the fire and the camp.
Naręcze drewna,Armful of wood
Następny ruch dziś jest darmowy.,Your next move today is free.
Następny ruch dziś kosztuje +1 energii.,Your next move today costs +1 energy.
Natrafiasz na porzucony obóz. Zostały jakieś rzeczy.,You come across an abandoned camp. Some things were left behind.
Natrafiasz na porzucony plecak. +2 kamienia.,You come across an abandoned backpack. +2 stone.
Nauczyłeś się naprawdę regenerować — budzisz się silniejszy i zdrowszy.,You have learned to truly recover — you wake up stronger and healthier.
Nawet po zmroku rozgrzana ziemia oddaje suchy żar. Gardło piecze. -1 nawodnienia.,Even after dark the scorched ground radiates dry heat. Your throat burns. -1 hydration.
"Nawodnienie
Spada każdej nocy.
Latem i na suchych biomach spada szybciej.","Hydration
Drops every night.
It drops faster in summer and on dry biomes."
Nawodnienie 8/10,Hydration 8/10
Nawodnienie jest już pełne.,Hydration is already full.
Nawodnienie spadło do 0: tracisz zdrowie z odwodnienia (-%d zdrowia).,Hydration hit 0: dehydration is costing you health (-%d health).
Nazwa budynku,Building name
Nazwa karty,Card name
"Nic się nie dzieje. Czasem to najlepsze, co może się przytrafić.",Nothing happens. Sometimes that is the best thing that can happen.
"Nie kusisz losu. Czekasz świtu, którego może nie być.",You do not tempt fate. You wait for a dawn that may never come.
Nie ma czasu na posiłek — zaciskasz pas i pracujesz dalej.,No time for a meal — you tighten your belt and keep working.
Nie ma takiego budynku.,No such building.
Nie możesz,You cannot
"Nie odpuszczasz mimo zmęczenia — dzień nabiera rozpędu, choć żołądek burczy.","You push on despite the fatigue — the day picks up pace, though your stomach growls."
Nie rozpoznano przeciągniętej karty.,Dragged card not recognised.
Nie udało się!,It failed!
"Niebo pęka zielonym błyskiem. Ziemia gnije, a umarli nie chcą leżeć.","The sky cracks with a green flash. The earth rots, and the dead refuse to lie still."
Niebo pęka. %s,The sky is breaking. %s
Niech spoczywa. Odwracasz wzrok.,Let them rest. You look away.
"Niektóre budynki działają pasywnie nocą, a część ma akcję za energię.

Przykład: przy Ognisku możesz dodatkowo się ogrzać, Warsztat może wykonać narzędzia, Studnia pozwala nabrać wodę. Użycie budynku zużywa jego HP, więc nie klikaj wszystkiego bez potrzeby.","Some buildings work passively at night, and some have an action that costs energy.

Example: at the Campfire you can warm yourself up extra, the Workshop can craft tools, the Well lets you draw water. Using a building wears down its HP, so do not click everything without need."
Nieprzenikniona ciemność,Impenetrable darkness
Niespokojny sen,Restless sleep
Nieustępliwość,Relentlessness
Niewiele widać na krok. Jutro każdy ruch kosztuje +1 energii.,You can barely see a step ahead. Tomorrow every move costs +1 energy.
Nieznany teren,Unknown terrain
Nieznany teren. Odkrycie aktywuje jego nocne zagrożenia.,Unknown terrain. Discovering it will arm its night hazards.
Nieznany teren. Wejście odkryje ten kafel.,Unknown terrain. Entering will reveal this tile.
Noc: %s,Night: %s
Nocna decyzja,Night decision
Nocna wilgoć,Night damp
Nocne zdarzenie,Night event
Nocny kryzys wyczerpuje cie. Jutro -%d energii.,The night crisis drains you. Tomorrow -%d energy.
Nocą chroni przed częścią strat zdrowia lub ciepła.,At night it protects you from part of the health or warmth loss.
Nocą ciepło ogniska pomaga utrzymać temperaturę w całej osadzie.,At night the campfire's warmth helps keep the whole settlement's temperature up.
Nocą daje ciepło i chroni przed częścią strat zdrowia lub ciepła.,At night it gives warmth and protects you from part of the health or warmth loss.
Nocą słychać głuchy huk gdzieś w głębi ziemi.,At night a dull rumble sounds somewhere deep in the earth.
Nowa gra,New game
"Nurt ginie w pęknięciach i wraca gorący, mętny, niepewny.","The current vanishes into the cracks and comes back hot, murky, uncertain."
Nurt niesie kry i martwe światło. Woda parzy zimnem przy dotyku.,The current carries ice floes and a dead light. The water scalds with cold at a touch.
"O zmierzchu chmura nietoperzy wylewa się z korytarza. Czuwasz dłużej, nasłuchując skrzydeł. -1 energii następnego dnia.","At dusk a cloud of bats pours out of the passage. You stay up longer, listening for wings. -1 energy the next day."
O zmierzchu ryby biją w taflę. Zarzucasz sieć i masz łup. +1 jedzenia.,At dusk the fish strike the surface. You cast the net and take your haul. +1 food.
OK,OK
Obcy grzebie w twoich zapasach. Łapiesz go na gorącym uczynku.,A stranger is digging through your supplies. You catch him red-handed.
Obcy wędrowiec,Strange wanderer
Oberwanie chmury,Cloudburst
Objuczony kram,Loaded stall
"Obok obozu przepływa wzdęte ciało z pełnym, dobrze zapakowanym plecakiem.","A bloated body floats past the camp with a full, well-packed backpack."
Obrabowujesz cudze ognisko — ale w mroku ktoś mógł czuwać.,You loot someone else's campfire — but someone may have been keeping watch in the dark.
Obróbka kamienia,Stoneworking
Obsuw skalny,Rockslide
Obsuw stropu,Ceiling collapse
Odblokowano: %s!,Unlocked: %s!
Oddajesz nadmiar kamienia za porządny zapas drewna.,You trade your excess stone for a solid stock of wood.
Oddajesz zapas drewna za coś do garnka.,You trade a stock of wood for something for the pot.
Odkrywasz nowy teren: %s.,You discover new terrain: %s.
Odkrywasz stary obóz. +2 kamienia.,You discover an old camp. +2 stone.
Odkryć kafel?,Discover the tile?
Odpoczynek,Rest
Odpoczynek: Głęboki sen,Rest: Deep sleep
Odprawiasz obcego z niczym. Spokojna noc.,You send the stranger away with nothing. A quiet night.
Odpędź go,Chase him off
Odstępujesz część prowiantu wędrownemu kamieniarzowi za zapas kamienia.,You give part of your provisions to a wandering stonemason for a stock of stone.
"Ogień powinien zabić to, co w środku. Powinien.",Fire should kill whatever is inside. Should.
Ognisko,Campfire
Ognisko: %s.,Campfire: %s.
Ogrzej go przy ogniu,Warm him by the fire
Ogrzej się,Warm up
Okopanie się,Dig in
Okradnij (ryzyko),Rob (risky)
Okradnij go (ryzyko),Rob him (risky)
Omen: %s,Omen: %s
Opatrunek: Szwy,Dressing: Stitches
Opatrz rany,Dress wounds
"Opatrz się tym, co masz pod ręką.",Dress your wounds with whatever is at hand.
Opis karty,Card description
Opuszczony obóz,Abandoned camp
Orzeł krąży leniwie nad szczytem. Jego spokój udziela się i tobie. +1 zdrowia.,An eagle circles lazily over the peak. Its calm rubs off on you. +1 health.
Orzeł nad granią,Eagle above the ridge
Ostatnie logi:,Last log entries:
Ostre pale otaczają osadę.,Sharp stakes surround the settlement.
Osuwające się Góry,Sliding Mountains
Osuwisko,Landslide
Otul się,Bundle up
"Otwarta, żyzna przestrzeń. Najlepsze miejsce pod osadę.","Open, fertile ground. The best place for a settlement."
Otwarte rany,Open wounds
Otwiera się rozpadlina,A crevice opens up
"Owiń się wszystkim, co masz, i przeczekaj chłód.",Wrap yourself in everything you have and wait out the cold.
"Owoce są miękkie i cuchną, ale głód nie wybiera.","The fruit is soft and reeks, but hunger does not get to choose."
"Ożywiony rumowiskiem, miażdży wszystko na drodze.","Animated by the rubble, it crushes everything in its path."
Padlinożercy,Scavengers
Pali się jeszcze %d nocy,Burns for %d more nights
Palisada,Palisade
Palisada odpiera atak na %s.,The palisade repels the attack on %s.
"Pasek u góry pokazuje dzień, poziom, zdrowie, sytość, nawodnienie, ciepło, energię oraz zapasy. Najedź kursorem na porę roku, aby zobaczyć jej bonusy i kary. ","The top bar shows the day, level, health, satiety, hydration, warmth, energy and supplies. Hover over the season to see its bonuses and penalties. "
Pasywnie: %s,Passive: %s
Pauza,Paused
Pewną ręką zszywasz rany — goją się znacznie lepiej.,You stitch the wounds with a steady hand — they heal much better.
Pełny ekran,Fullscreen
Pełzacz z głębi,Crawler from the deep
Pełzająca ciemność,Creeping darkness
Pełzające korzenie,Creeping roots
Pijawki,Leeches
Pijesz wodę (+%d nawodnienia).,You drink water (+%d hydration).
Plaga,Plague
Plaga pijawek,Plague of leeches
Plaga sięga do spiżarni. -2 jedzenia.,The plague reaches into the pantry. -2 food.
"Plaga: zapasy gniją szybciej, a choroba wyniszcza ciało (mocno większy głód).",Plague: supplies rot faster and the sickness wastes the body (much greater hunger).
Plan dnia,Plan for the day
Planujesz dzień i przy okazji wypatrujesz przydatny złom po drodze.,You plan the day and keep an eye out for useful scrap along the way.
Plecak topielca,Drowned man's backpack
Po katastrofie jest już za późno na fortyfikacje.,After the disaster it is too late for fortifications.
"Po nocy ognisko może mieć mniej HP. Otwórz szczegóły budynku i użyj naprawy, aby zobaczyć koszt oraz przywrócić wytrzymałość.",After the night the campfire may have less HP. Open the building details and use repair to see the cost and restore its durability.
"Po nocy:
Sytość -%d
Nawodnienie -%d
Ciepło %s (noc -%d, budynki +%d)
Zapasy: %d jedzenia, %d wody%s","After the night:
Satiety -%d
Hydration -%d
Warmth %s (night -%d, buildings +%d)
Supplies: %d food, %d water%s"
"Pod drzewem siedzi milczący starzec. Zdaje się wiedzieć więcej, niż mówi.",A silent old man sits under a tree. He seems to know more than he says.
Pod stosem zarażonych ciał widać czyjś plecak. Sięgnąć głębiej czy nie ryzykować?,"Under a pile of infected bodies you can see someone's backpack. Reach deeper, or not risk it?"
Pod ziemią nie ma wiatru ani głosów. W tej absolutnej ciszy śpisz jak kamień. +1 energii następnego dnia.,There is no wind and no voices underground. In that absolute silence you sleep like a stone. +1 energy the next day.
Podchodząca woda,Rising water
Podreperuj konstrukcje,Patch up the structures
Podtopione Łąki,Waterlogged Meadows
Podziel się jedzeniem,Share your food
Pokazujesz nóż. Człowiek znika w mroku.,You show the knife. The man vanishes into the dark.
Poluj,Hunt
"Poniedziałek, 5:00","Monday, 5:00"
"Popiół pobielał od szronu, a horyzont zniknął w bladym mroku.","The ash has gone white with frost, and the horizon has vanished into pale gloom."
Popękany Las,Cracked Forest
Pora roku: %s. %s,Season: %s. %s
Poranna rosa,Morning dew
Porażka: %s,Failure: %s
Port rybacki,Fishing dock
Porywisty wiatr,Gusty wind
Porządkujesz plan i zyskujesz rozpęd.,You sort out your plan and gain momentum.
Porządnie opatrz ranę.,Dress the wound properly.
Postacie,Characters
Postać:,Character:
"Potrzeby: zdrowie %d/%d, sytość %d/10, nawodnienie %d/10, ciepło %d/10, energia %d/%d","Needs: health %d/%d, satiety %d/10, hydration %d/10, warmth %d/10, energy %d/%d"
Potwor,Monster
Potwór,Monster
Potwór: %s — %s,Monster: %s — %s
"Powietrze gęstnieje od zarodników. -1 zdrowia, -1 ciepła.","The air thickens with spores. -1 health, -1 warmth."
Powietrze jest ciężkie od wilgoci. Wszystko pleśnieje.,The air is heavy with damp. Everything is going mouldy.
Powietrze pachnie sosną i ciepłą ziemią. Śpisz głęboko. +1 energii następnego dnia.,The air smells of pine and warm earth. You sleep deeply. +1 energy the next day.
Powódź,Flood
Powódź zmieszała wodę pitną ze ściekami. Rozkłada cię gorączka. -2 zdrowia.,The flood mixed the drinking water with sewage. Fever takes you apart. -2 health.
"Powódź: lodowata woda wszędzie — ciepło ucieka, a zapasy gniją (więcej psucia).",Flood: icy water everywhere — warmth escapes and supplies rot (more spoilage).
Powłóczy nogami w stronę ogniska. Nocą drze deski z twoich budynków.,It shuffles towards the campfire. At night it tears planks from your buildings.
Pozbieraj suche gałęzie po drodze.,Pick up dry branches along the way.
Poziom 1  XP 0/8,Level 1  XP 0/8
Poziom: %d   ·   Obrażenia łącznie: %d,Level: %d   ·   Total damage: %d
"Poświęcasz trochę jedzenia, by oczyścić solidny zapas wody.",You sacrifice some food to purify a solid stock of water.
Praca budynków zużywa: %s.,Building work wears down: %s.
"Pracujesz przy świetle, ale marzniesz. +1 energii następnego dnia, -1 ciepła.","You work by the light, but you freeze. +1 energy the next day, -1 warmth."
"Pracujesz w bólu, byle wyrwać z gruzu tyle kamienia, ile się da.",You work through the pain to pull as much stone from the rubble as you can.
Prefabrykaty,Prefabs
Prognoza nocy,Night forecast
Przechodzisz do biomu: %s.,You move to the biome: %s.
Przechylony dom pełen zapasów stoi nad świeżą szczeliną. Lada wstrząs i runie.,A tilted house full of supplies stands over a fresh crevice. One tremor and it falls.
Przeciągająca się noc,The dragging night
Przeciągnij budowlę na aktualny biom albo kartkę logów.,Drag a building onto the current biome or the log sheet.
Przeciągnij kartę na aktualny biom albo kartkę logów.,Drag a card onto the current biome or the log sheet.
Przeczesujesz teren i wracasz z łupem.,You comb the area and come back with loot.
"Przed kliknięciem Koniec dnia najedź na przycisk i sprawdź, ile stracisz nocą. W nocy gra pokaże kartę zdarzenia oraz kartkę z bilansem.

Po nocy zapasy jedzenia i wody mogą zostać automatycznie zużyte, żeby podnieść sytość i nawodnienie.","Before clicking End day, hover over the button and check what the night will cost you. At night the game shows an event card and a balance sheet.

After the night, food and water supplies may be consumed automatically to raise satiety and hydration."
Przed kryzysem budynki mają tylko %d%% szans na zwykłe zużycie HP.,"Before the crisis, buildings only have a %d%% chance of normal HP wear."
Przegoń,Chase it off
Przejdź,Move
Przejdź (koszt: %d energii),Move (cost: %d energy)
"Przejdź do trybu budowania. Lista pokaże konstrukcje dostępne na obecnym biomie wraz z kosztem energii, drewna i kamienia.","Enter build mode. The list will show the structures available on the current biome, with their energy, wood and stone costs."
Przejdź w ciemności (ryzyko),Cross in the dark (risky)
Przejść na kafel?,Move to the tile?
Przekrocz swoje granice.,Push past your limits.
Przekąska,Snack
"Przemoczony do suchej nitki. -1 zdrowia, -1 ciepła (schronienie chroni). +1 wody.","Soaked to the bone. -1 health, -1 warmth (shelter protects). +1 water."
Przepłosz ogniem,Scare it off with fire
Przerób drewno na użyteczne części.,Work wood into useful parts.
Przeszukaj ciała (ryzyko zarazy),Search the bodies (risk of plague)
Przeszukaj dokładnie (ryzyko),Search thoroughly (risky)
Przeszukaj okolicę za przydatnym złomem.,Search the area for useful scrap.
Przeszukujesz jego tobołek.,You search through his bundle.
Przetrwałeś X dni.,You survived X days.
Przetrwałeś wszystkie %d dni.,You survived all %d days.
"Prześpij część dnia, by dojść do siebie.",Sleep through part of the day to recover.
"Przy buzującym ogniu siły wracają szybciej, niż uchodzą.",By the roaring fire your strength returns faster than it drains.
Przy ognisku staje wychudzony nieznajomy. Co robisz?,A gaunt stranger appears by the campfire. What do you do?
"Przycisk w prawym dolnym rogu aktualnego kafla pozwala zabezpieczyć cały rejon na wypadek katastrofy. To kosztowna decyzja: dużo kamienia, energia i drewno za mniejsze szkody oraz wolniejsze zużycie budynków przed kryzysem. Nie musisz robić tego teraz.","The button in the bottom-right corner of your current tile lets you secure the whole region against the disaster. It is a costly decision: a lot of stone, plus energy and wood, for less damage and slower building wear before the crisis. You do not have to do it now."
Przyciągnij kijem,Pull it in with a stick
Przyczyna: %s,Cause: %s
Przymrozek,Ground frost
Przypływ,High tide
"Przypływ wyrzuca na brzeg naręcze suchego, wygładzonego drewna. +1 drewna.","The tide throws an armful of dry, polished wood onto the shore. +1 wood."
Ptaki odleciały na południe za wcześnie. Robi się cicho i mroźno.,The birds flew south too early. It is growing quiet and frosty.
Ptasi poranek,Bird morning
Punkt opatrunkowy z ocalałych zapasów.,A dressing station made from salvaged supplies.
Pustelnik dzieli się sztuczką przetrwania.,The hermit shares a survival trick.
Pustka pocięta jest szczelinami. W dole żarzy się coś niestabilnego.,The emptiness is carved with crevices. Something unstable glows down below.
Pustkowie,Wasteland
Pułapki,Traps
Pył w gardle,Dust in your throat
Pył z rozpadlin,Dust from the crevices
Pył śnieżny,Snow dust
Pęknięcie,Rift
"Pęknięcie: wstrząsy i pył — sprzątanie rumowiska wyczerpuje (-2 energii, większe pragnienie).","Rift: tremors and dust — clearing the rubble is exhausting (-2 energy, greater thirst)."
Pęknięte Góry,Cracked Mountains
Razem: %s.,Total: %s.
Rechot żab,Croaking frogs
Refaktoryzacja,Refactoring
Rejon zabezpieczony,Region secured
Robactwo toczy zapasy drewna. -2 drewna.,Vermin are eating through the wood supplies. -2 wood.
Rojowisko much,Swarm of flies
Rojowisko z rozpadliny,Swarm from the crevice
"Rozbierasz %s: %s (+%d drewna, +%d kamienia).","You tear down %s: %s (+%d wood, +%d stone)."
Rozbierz,Demolish
Rozbite Wybrzeże,Shattered Coast
Rozbiórka,Demolition
"Rozbiórka: %d energii
Zwrot: %s%s","Demolition: %d energy
Refund: %s%s"
Rozdarte Łąki,Torn Meadows
Rozebrać budynek?,Demolish the building?
Rozebrać ruinę?,Tear down the ruin?
Rozejrzyj się,Look around
Rozejrzyj się i zaplanuj dzień.,Look around and plan the day.
Rozkop dokładnie (ryzyko),Dig it out thoroughly (risky)
Rozkop pobieżnie,Dig around quickly
Rozkuwasz skałę i wyłamujesz solidną porcję twardego kamienia.,You crack the rock open and break out a solid share of hard stone.
Rozlewisko,Floodwater
Rozmokła ziemia,Sodden ground
Rozpal ognisko i odetchnij w cieple.,Light the campfire and breathe in the warmth.
Rozpalone widmo,Burning phantom
Rozpisujesz dzień co do minuty.,You plan the day to the minute.
Rozpoznanie,Reconnaissance
Rozłup lód po zapasy (ryzyko),Break the ice for the supplies (risky)
Ruina nie ma aktywnej akcji.,A ruin has no active action.
Ruiny można tylko rozebrać.,Ruins can only be torn down.
Ruletka postaci,Character roulette
Ruletka postaci (%d %s),Character roulette (%d %s)
Ruletka postaci (1 moneta),Character roulette (1 coin)
Rybie żerowisko,Fish feeding ground
Rytm dnia,Rhythm of the day
Ryzykujesz dłuższe grzebanie po zmroku.,You risk a longer dig after dark.
Rzadkie powietrze,Thin air
Rzeczna mgła,River mist
Rzeka,River
Rzeka szemrze równo przez całą noc. Śpisz jak zabity. +1 energii następnego dnia.,The river murmurs evenly all night. You sleep like the dead. +1 energy the next day.
"Rzeka wystąpiła z brzegów i niesie wszystko, czego nie zdążyła pochłonąć.",The river has burst its banks and carries everything it has not yet swallowed.
"Rzeka wystąpiła z brzegów i zalała obóz. -2 ciepła, -1 zdrowia (schronienie chroni).","The river burst its banks and flooded the camp. -2 warmth, -1 health (shelter protects)."
"Rzeka wzbiera lepką, lodowatą falą i zalewa obóz. -1 ciepła, -1 nawodnienia, -1 zdrowia.","The river swells with a sticky, icy wave and floods the camp. -1 warmth, -1 hydration, -1 health."
"Rzeki wezbrały, a deszcz nie ustaje od dni.","The rivers have swollen, and the rain has not stopped for days."
Rześkie powietrze,Crisp air
Rzucasz się na jego tobołek — ale chory broni się zaciekle.,You lunge at his bundle — but the sick man fights back fiercely.
"Rzucasz się w lodowaty, mętny nurt.","You throw yourself into the icy, murky current."
Rój kłujek,Stinger swarm
Rój szczurów,Rat swarm
"Równe tempo koi nerwy. Im więcej kart zagrano dziś wcześniej, tym więcej energii odzyskujesz.","A steady pace calms the nerves. The more cards you played earlier today, the more energy you recover."
Rąb drewno,Chop wood
"SAMOUCZEK: część prowadzona zakończona. Dalej grasz normalnie: rozwijaj talię, osadę i przygotuj się na nadchodzący kryzys.","TUTORIAL: the guided part is over. From here you play normally: grow your deck and settlement, and prepare for the coming crisis."
"SAMOUCZEK: kliknij zbudowany budynek na biomie, sprawdź jego akcję i opis. Użyj budynku, zagraj kartę rozpoznania albo odkryj sąsiedni kafel.","TUTORIAL: click a built building on the biome, check its action and description. Use the building, play a scouting card or discover a neighbouring tile."
"SAMOUCZEK: przeciągnij kartę akcji na kartkę logów albo obecny biom. Zdobądź wodę, jedzenie i drewno, potem otwórz Budowanie i postaw pierwszy budynek.","TUTORIAL: drag an action card onto the log sheet or the current biome. Get water, food and wood, then open Building and place your first building."
Samouczek,Tutorial
Samouczek zakończony,Tutorial finished
Sarny o świcie,Deer at dawn
Schodzisz po kruszącej się ścianie ku kuszącemu łupowi.,You climb down the crumbling wall towards the tempting loot.
Schron bierze na siebie czesc mrozu (-1 HP).,The shelter takes part of the frost onto itself (-1 HP).
Seed: %d,Seed: %d
"Sen nie daje odpoczynku. -1 ciepła, -1 energii następnego dnia.","Sleep brings no rest. -1 warmth, -1 energy the next day."
Sen urwał się w dniu %d.,The dream broke off on day %d.
Sidła,Snares
Sidła wokół obozu wzmacniają obronę. Możesz je sprawdzić za energię.,Snares around the camp strengthen its defence. You can check them for energy.
Sięgnij po zapas suszonego mięsa.,Reach for a stock of dried meat.
Sięgnij z brzegu,Reach from the bank
Skalisty brzeg morza: ryby w wodzie i złom z rozbitych łodzi. Sztormy bywają groźne.,A rocky seashore: fish in the water and scrap from wrecked boats. The storms can be dangerous.
Skaut,Scout
Skały gasną pod lodowym cieniem. Każdy podmuch zabiera resztki ciepła.,The rocks go dark under an icy shadow. Every gust takes the last of the warmth.
Skażona studnia,Tainted well
Skażona zwierzyna,Tainted game
Skażone mięso,Tainted meat
Skażony złom,Tainted scrap
Skleć prymitywne narzędzia.,Put together crude tools.
Skowronki w górze,Larks overhead
Skrytka w trupach,Cache among the corpses
Skrytka wędrowca,Wanderer's cache
"Skub coś w biegu, bez tracenia czasu.","Nibble something on the move, without losing time."
"Skubiesz coś po drodze. Szybko, ale kolejny ruch będzie cięższy.","You nibble something along the way. Quick, but the next move will be harder."
Skulony przy szlaku ktoś dygocze z zimna. Ledwo żywy.,"Someone huddles by the trail, shivering with cold. Barely alive."
"Skwar wysusza gardło. -2 nawodnienia, -1 energii następnego dnia.","The heat dries out your throat. -2 hydration, -1 energy the next day."
"Skóra pęka ropiejącymi wrzodami, a dreszcze nie ustają. -2 zdrowia, -1 ciepła.","The skin cracks into festering sores, and the shivers will not stop. -2 health, -1 warmth."
Smakują wybornie... chyba.,They taste delicious... probably.
"Sny są ciężkie i lepkie. -1 zdrowia, -1 energii następnego dnia.","The dreams are heavy and sticky. -1 health, -1 energy the next day."
Sny są coraz cięższe. Coś nadchodzi.,The dreams grow heavier. Something is coming.
"Sobota, 10:00","Saturday, 10:00"
"Spalona, jałowa ziemia usiana gruzem. Kamienia w bród, jedzenia jak na lekarstwo.","Scorched, barren ground strewn with rubble. Stone galore, food scarce as medicine."
Specjalne: %s,Special: %s
Spiekota popiołów,Scorch of the ashes
Spiekłe szkło,Baked glass
Spiżarnia,Pantry
"Spod czarnego mułu bucha duszący odór rozkładu. -2 zdrowia, -1 nawodnienia.","A choking stench of decay erupts from under the black silt. -2 health, -1 hydration."
"Spod czarnej wody przysysają się tłuste pijawki. Budzisz się osłabiony. -1 zdrowia, -1 energii następnego dnia.","Fat leeches latch on from under the black water. You wake up weakened. -1 health, -1 energy the next day."
"Spod kory wykwita czarna pleśń i obsiada zapasy żywności. -2 jedzenia, -1 zdrowia.","Black mould blooms from under the bark and settles on the food supplies. -2 food, -1 health."
Spod ziemi wystaje róg skrzyni. Ktoś coś tu ukrył.,The corner of a chest sticks out of the ground. Someone hid something here.
